dataset, network, layer, 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
D3, CNNResnet, 3, 0.03880, 0.13204, 0.08409, 0.14345, 0.09003, 0.03483, 0.04672, 0.03774, 0.02563, 0.02267, 0.13744, 0.00000, 0.00403, 0.00000, 0.00000
D3, CNNResnet, 4, 0.04557, 0.11712, 0.03446, 0.05474, 0.11345, 0.03058, 0.05171, 0.02205, 0.00905, 0.01535, 0.03632, 0.00000, 0.00128, 0.00000, 0.00000
D3, CNNResnet, 5, 0.04778, 0.15671, 0.07278, 0.15117, 0.13428, 0.03648, 0.05838, 0.03131, 0.02555, 0.01662, 0.17053, 0.00000, 0.00155, 0.00000, 0.00000
D3, SECNNResnet, 0, 0.02450, 0.04580, 0.10973, 0.03647, 0.06130, 0.03392, 0.02515, 0.02621, 0.02521, 0.03084, 0.00772, 0.00000, 0.00012, 0.00000, 0.00000
D3, SECNNResnet, 1, 0.01286, 0.06813, 0.00555, 0.04273, 0.06383, 0.02919, 0.01812, 0.03526, 0.01935, 0.00896, 0.00734, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 2, 0.01252, 0.06860, 0.00488, 0.04077, 0.06353, 0.02982, 0.01682, 0.03502, 0.01886, 0.00887, 0.00736, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 3, 0.02676, 0.14102, 0.10494, 0.09162, 0.07098, 0.01902, 0.04859, 0.04346, 0.04245, 0.02989, 0.11447, 0.00000, 0.00590, 0.00000, 0.00000
D3, SECNNResnet, 4, 0.05159, 0.14831, 0.09992, 0.14360, 0.13186, 0.02525, 0.04934, 0.02841, 0.03713, 0.02553, 0.14864, 0.00000, 0.00585, 0.00000, 0.00000
D3, SECNNResnet, 5, 0.02012, 0.07223, 0.01118, 0.07403, 0.14489, 0.02822, 0.03178, 0.01958, 0.00457, 0.00994, 0.02828, 0.00000, 0.00026, 0.00000, 0.00000
D3, SECNNResnet, 6, 0.01541, 0.07647, 0.00986, 0.07459, 0.14528, 0.02824, 0.03066, 0.02404, 0.00506, 0.00858, 0.02714, 0.00000, 0.00026, 0.00000, 0.00000
D3, SECNNResnet, 7, 0.06674, 0.14758, 0.08482, 0.14281, 0.19025, 0.02496, 0.05434, 0.03062, 0.03837, 0.02485, 0.16584, 0.00000, 0.00026, 0.00000, 0.00000
D3, CBAM-CNNResnet, 0, 0.01281, 0.04782, 0.15750, 0.03775, 0.06413, 0.02716, 0.01553, 0.02843, 0.00797, 0.03840, 0.00319, 0.00000, 0.00200, 0.00000, 0.00000
D3, CBAM-CNNResnet, 1, 0.00729, 0.05287, 0.04448, 0.03476, 0.05405, 0.02318, 0.01481, 0.03650, 0.02107, 0.03694, 0.04034, 0.00000, 0.02077, 0.00000, 0.00000
D3, CBAM-CNNResnet, 2, 0.00756, 0.04696, 0.02536, 0.03446, 0.05180, 0.02429, 0.01227, 0.03644, 0.01719, 0.03344, 0.01339, 0.00000, 0.01378, 0.00000, 0.00000
D3, CBAM-CNNResnet, 3, 0.00729, 0.04826, 0.02787, 0.03557, 0.05732, 0.02348, 0.01462, 0.03633, 0.01658, 0.03100, 0.01635, 0.00000, 0.01417, 0.00000, 0.00000
D3, CBAM-CNNResnet, 4, 0.00432, 0.05827, 0.13587, 0.12641, 0.10012, 0.01874, 0.02646, 0.04162, 0.03202, 0.03799, 0.03581, 0.00000, 0.01228, 0.00000, 0.00000
D3, CBAM-CNNResnet, 5, 0.04654, 0.14760, 0.15263, 0.14638, 0.18723, 0.03598, 0.05606, 0.03250, 0.04395, 0.03597, 0.23402, 0.00000, 0.01622, 0.00000, 0.00000
D3, CBAM-CNNResnet, 6, 0.05380, 0.08899, 0.02164, 0.11696, 0.23083, 0.03326, 0.03840, 0.03956, 0.01226, 0.01656, 0.03428, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 7, 0.04811, 0.09107, 0.02133, 0.06105, 0.22776, 0.02053, 0.03903, 0.03390, 0.01259, 0.02235, 0.04313, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 8, 0.04539, 0.09057, 0.02056, 0.06113, 0.21957, 0.02060, 0.04037, 0.03047, 0.01271, 0.01727, 0.03817, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 9, 0.05455, 0.16546, 0.15606, 0.14816, 0.18293, 0.03609, 0.06396, 0.03118, 0.03797, 0.03648, 0.23972, 0.00000, 0.00665, 0.00000, 0.00000
